Bairro;Data;Acidentes de Trânsito
Nova Mirim;01.03.2021;0
Anhanguera;01.03.2021;1
Quietude;01.03.2021;0
Santa Marina;01.03.2021;0
Tupiry;01.03.2021;0
Antártica;01.03.2021;3
Vila Sônia;01.03.2021;3
Glória;01.03.2021;0
Sítio do Campo;01.03.2021;7
Xixová;01.03.2021;3
Serra do Mar;01.03.2021;0
Não Informado;01.03.2021;2
Militar;01.04.2013;0
Canto do Forte;01.04.2013;5
Boqueirão;01.04.2013;44
Guilhermina;01.04.2013;18
Aviação;01.04.2013;6
Tupi;01.04.2013;9
Ocian;01.04.2013;4
Mirim;01.04.2013;2
Maracanã;01.04.2013;0
Caiçara;01.04.2013;0
Real ;01.04.2013;0
Flórida;01.04.2013;0
Solemar;01.04.2013;0
Cidade da Criança;01.04.2013;0
Princesa;01.04.2013;0
Imperador;01.04.2013;0
Melvi;01.04.2013;0
Samambaia;01.04.2013;0
Esmeralda;01.04.2013;0
Ribeirópolis;01.04.2013;0
Andaraguá;01.04.2013;0
Nova Mirim;01.04.2013;6
Anhanguera;01.04.2013;5
Quietude;01.04.2013;3
Santa Marina;01.04.2013;0
